Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality (#{lang}),Owner last removed or added a section,Owner last updated CV,Last updated CV,Summary Of Qualifications,Owner last updated Qualifications,Project Experiences,Unique roles,Owner last updated Project Experiences,Highlighted roles,Owner last updated Highlighted roles,Skill categories,Owner last updated Skill categories,Educations,Years of education,Owner last updated Educations,Work experiences,Years since first work experience,Owner last updated Work experiences,Certifications,Owner last updated Certifications,Courses,Owner last updated Courses,Presentations,Owner last updated Presentations,Recommendations,Owner last updated Recommendations,Positions,Owner last updated Positions,Mentoring,Owner last updated Mentoring,Publications,Owner last updated Publications,Honors and awards,Owner last updated Honors and awards,Languages,Owner last updated Languages,Owner last updated Unique roles
Alexandra Donovan,int:Alexandra Donovan,int:Consultant MLOps Engineer,alexandra.donovan@example.org,alexandradonovan,ext_a896d57c,a896d57c,cv_a896d57c,8249819346,+1-366-750-6180x9190,1992,Data Engineering,India,int:Norwegian,2025-06-26,2025-04-17,2025-09-14,Consultant MLOps Engineer in data engineering delivering data platforms & analytics.,2024-04-18,0,1,2025-08-29,1,2024-05-19,2,2025-03-14,3,15,2024-12-15,0,19,2024-04-10,1,2025-07-29,1,2025-12-26,2,2025-03-03,0,2025-11-23,3,2025-05-13,0,2025-11-18,2,2025-02-18,0,2025-05-04,4,2025-06-18,2024-12-06
James Moran,int:James Moran,int:Consultant Cloud Architect,james.moran@example.org,jamesmoran,ext_33036e24,33036e24,cv_33036e24,514.449.1476x60728,001-268-842-4508x8210,1998,Architecture,United Kingdom,int:Swedish,2025-10-11,2025-07-21,2026-04-03,Consultant Cloud Architect in architecture delivering data platforms & analytics.,2024-07-17,6,3,2024-07-29,3,2026-01-14,5,2024-06-11,0,12,2025-08-11,2,4,2025-11-13,3,2024-11-08,5,2025-09-23,0,2026-02-17,0,2025-08-30,4,2025-05-29,0,2025-01-13,1,2025-12-29,1,2025-04-21,3,2025-03-06,2025-02-20
John Foster,int:John Foster,int:Senior Frontend Engineer,john.foster@mail.test,johnfoster,ext_aea6210a,aea6210a,cv_aea6210a,+1-481-443-5368,(939)343-1290,1979,Software Engineering,United Kingdom,int:Danish,2025-04-19,2025-07-13,2026-02-08,Senior Frontend Engineer in software engineering delivering data platforms & analytics.,2024-12-13,5,1,2026-01-09,3,2024-05-01,2,2025-12-21,2,15,2024-06-01,2,19,2025-02-13,3,2026-03-22,5,2025-10-21,3,2025-05-12,0,2025-11-23,2,2024-08-23,1,2024-10-31,1,2025-03-06,0,2024-05-01,4,2024-12-24,2025-04-14
Emily Evans,int:Emily Evans,int:Principal .NET Engineer,emily.evans@mail.test,emilyevans,ext_b1351b18,b1351b18,cv_b1351b18,314-513-9755x2314,277-759-4929x95562,1970,Software Engineering,Australia,int:Norwegian,2025-07-04,2025-09-29,2026-02-05,,2025-10-02,0,3,2025-01-24,3,2025-03-07,4,2024-05-13,0,19,2026-01-12,2,8,2025-11-01,3,2026-03-27,2,2025-04-23,0,2024-04-09,2,2024-08-07,3,2025-07-13,2,2025-09-13,2,2024-10-23,1,2024-07-13,3,2024-12-24,2024-10-06
Leslie Walton,int:Leslie Walton,int:Senior Data Engineer,leslie.walton@example.org,lesliewalton,ext_c7c19af4,c7c19af4,cv_c7c19af4,936.745.2577,001-347-281-2914x28341,1971,Data Engineering,United Kingdom,int:British,2025-10-13,2025-04-23,2025-11-03,Senior Data Engineer in data engineering delivering data platforms & analytics.,2026-03-10,3,0,2024-09-25,3,2025-10-02,3,2025-06-07,0,11,2025-04-03,0,17,2025-01-31,3,2026-03-17,3,2025-01-01,2,2025-05-06,0,2025-06-03,4,2024-06-21,2,2026-02-26,2,2024-08-01,1,2025-12-10,4,2025-04-03,2025-07-04
Charles Ellis,int:Charles Ellis,int:Senior Data Platform Engineer,charles.ellis@example.com,charlesellis,ext_afa87769,afa87769,cv_afa87769,709.896.9308x48872,794.227.8816,1978,Data Engineering,United Kingdom,int:Polish,2025-10-09,2025-08-12,2025-04-16,Senior Data Platform Engineer in data engineering delivering data platforms & analytics.,2024-07-10,5,0,2025-07-28,3,2024-08-29,2,2024-12-20,1,20,2026-02-21,0,11,2026-01-15,4,2025-05-04,0,2025-03-18,1,2026-02-23,2,2025-11-04,1,2024-07-19,2,2024-06-19,3,2025-12-21,1,2025-03-08,3,2024-10-26,2024-10-14
Yolanda Ferrell,int:Yolanda Ferrell,int:Senior Analytics Engineer,yolanda.ferrell@example.com,yolandaferrell,ext_6300b7d3,6300b7d3,cv_6300b7d3,+1-239-528-2722x99275,001-273-214-5303x85677,1976,Data Engineering,USA,int:British,2025-10-30,2025-05-23,2025-07-14,Senior Analytics Engineer in data engineering delivering data platforms & analytics.,2024-09-28,5,0,2025-07-28,2,2026-02-12,3,2025-03-16,3,19,2024-08-24,3,13,2024-12-05,0,2025-08-26,1,2025-01-11,2,2025-06-26,2,2024-04-28,0,2025-09-25,1,2025-06-24,0,2024-11-06,0,2024-05-16,3,2026-02-16,2024-04-23
Charles Lewis,int:Charles Lewis,int:Senior AI Engineer,charles.lewis@example.com,charleslewis,ext_cec18edd,cec18edd,cv_cec18edd,+1-351-684-4989x2665,(438)565-5779x0827,1972,AI/ML,United Kingdom,int:Swedish,2026-02-13,2025-12-11,2025-12-09,,2026-03-16,4,3,2024-04-07,1,2025-08-20,3,2026-01-28,2,12,2024-07-16,0,21,2025-06-13,3,2024-04-04,1,2024-07-19,0,2024-12-18,1,2024-08-09,1,2025-01-28,1,2024-06-22,2,2024-08-02,1,2025-05-02,3,2024-09-26,2025-05-06
Joseph Mahoney,int:Joseph Mahoney,int:Consultant Cloud Architect,joseph.mahoney@example.com,josephmahoney,ext_a150c29e,a150c29e,cv_a150c29e,384-532-2259,(451)477-7392x60302,1968,Architecture,Slovenia,int:British,2025-04-24,2025-09-16,2025-11-24,Consultant Cloud Architect in architecture delivering data platforms & analytics.,2025-02-15,3,3,2026-03-01,0,2024-08-26,3,2026-01-13,2,16,2024-06-26,2,6,2024-11-21,2,2024-09-06,6,2025-04-15,3,2026-01-08,0,2025-09-03,3,2024-10-08,2,2025-03-21,3,2025-05-27,0,2025-06-09,2,2025-05-16,2024-05-27
Nicole Suarez,int:Nicole Suarez,int:Principal Oracle Engineer,nicole.suarez@mail.test,nicolesuarez,ext_f4de5ca8,f4de5ca8,cv_f4de5ca8,+1-280-692-0242x8699,437-497-7236,1982,Cloud Engineering,Australia,int:Norwegian,2025-12-04,2025-09-23,2025-07-02,Principal Oracle Engineer in cloud engineering delivering data platforms & analytics.,2025-11-20,3,3,2025-03-12,0,2025-11-28,2,2025-12-25,1,10,2025-02-22,4,10,2025-08-23,2,2025-08-30,4,2025-12-11,3,2024-08-27,1,2025-06-11,0,2025-10-03,1,2025-10-23,4,2025-02-17,2,2024-09-17,4,2025-02-09,2024-07-21
Mike Moore,int:Mike Moore,int:Associate Python Developer,mike.moore@mail.test,mikemoore,ext_5da5dfaf,5da5dfaf,cv_5da5dfaf,+1-484-325-7991x366,9382862912,1989,Data Engineering,USA,int:Danish,2025-12-09,2025-09-09,2025-07-24,Associate Python Developer in data engineering delivering data platforms & analytics.,2024-12-14,2,1,2025-06-14,3,2025-10-25,5,2025-10-04,2,10,2025-02-18,2,14,2025-06-12,2,2026-03-31,5,2024-10-05,0,2025-04-26,2,2024-12-14,2,2024-06-01,2,2025-10-09,4,2024-05-04,2,2025-12-24,4,2025-03-07,2024-12-29
Martha Warner,int:Martha Warner,int:Principal MLOps Engineer,martha.warner@example.org,marthawarner,ext_11603566,11603566,cv_11603566,+1-881-817-2980,(408)663-7659x916,2002,Data Engineering,United Kingdom,int:British,2026-03-23,2025-10-19,2025-05-26,Principal MLOps Engineer in data engineering delivering data platforms & analytics.,2025-07-22,4,3,2025-10-15,3,2024-07-02,4,2024-12-06,1,14,2024-05-03,5,8,2025-12-31,0,2025-03-20,4,2026-03-11,1,2024-07-27,0,2024-06-03,4,2025-03-01,2,2024-09-15,4,2024-10-27,0,2025-09-18,4,2025-10-20,2024-08-29
Cheryl Archer,int:Cheryl Archer,int:Principal Solution Architect,cheryl.archer@example.com,cherylarcher,ext_886c1ea3,886c1ea3,cv_886c1ea3,331.249.8643x0098,(735)665-1269x4486,1973,Architecture,United Kingdom,int:Norwegian,2025-08-11,2025-11-29,2025-04-18,Principal Solution Architect in architecture delivering data platforms & analytics.,2024-07-25,3,2,2025-01-04,1,2025-10-04,2,2024-12-17,3,13,2024-11-07,5,4,2024-06-16,1,2025-12-11,2,2024-07-24,1,2025-04-29,1,2025-10-22,0,2025-07-27,0,2024-12-16,1,2026-01-22,2,2026-03-27,4,2026-03-01,2025-07-30
Destiny Smith,int:Destiny Smith,int:Principal DevOps Engineer,destiny.smith@mail.test,destinysmith,ext_5e9e5de3,5e9e5de3,cv_5e9e5de3,+1-763-868-8725x88744,001-221-437-2138x6589,1998,Cloud Engineering,Australia,int:Swedish,2025-08-22,2025-07-31,2026-03-04,,2025-06-08,5,3,2025-02-20,3,2025-03-27,4,2025-02-18,0,11,2024-10-27,6,21,2024-06-28,3,2024-06-07,2,2025-01-08,0,2025-01-20,2,2025-11-27,4,2025-12-18,2,2025-11-05,4,2025-07-09,2,2024-08-18,1,2025-12-10,2026-02-22
Lisa Evans,int:Lisa Evans,int:Senior Databricks Engineer,lisa.evans@mail.test,lisaevans,ext_7ef9cf65,7ef9cf65,cv_7ef9cf65,(201)827-9611x4351,(598)249-0277x0384,1982,Data Engineering,United Kingdom,int:British,2025-08-12,2025-04-05,2025-07-26,Senior Databricks Engineer in data engineering delivering data platforms & analytics.,2025-07-27,5,1,2025-07-11,2,2025-06-05,4,2024-04-28,2,12,2025-01-03,1,25,2025-04-30,1,2024-12-28,6,2024-04-17,3,2025-07-13,0,2024-08-30,2,2025-06-26,0,2024-08-03,2,2026-02-26,2,2025-11-11,1,2025-11-03,2025-04-18
Elizabeth Mcmillan,int:Elizabeth Mcmillan,int:Principal Python Developer,elizabeth.mcmillan@example.org,elizabethmcmillan,ext_1d574941,1d574941,cv_1d574941,+1-688-839-2053x021,(766)793-8011x848,2001,Data Engineering,India,int:Norwegian,2025-04-03,2025-08-21,2025-04-24,,2025-06-06,4,2,2025-10-27,0,2025-11-23,2,2025-11-04,2,19,2024-07-20,4,8,2025-06-08,2,2025-03-06,5,2025-07-14,2,2024-06-20,1,2025-08-13,1,2026-03-06,2,2025-08-30,5,2024-08-14,1,2025-05-28,4,2025-11-03,2024-04-22
Dennis Wilson,int:Dennis Wilson,int:Consultant Scrum Master,dennis.wilson@example.org,denniswilson,ext_657d64d8,657d64d8,cv_657d64d8,339-337-6904x268,745.918.4894x76973,1975,Delivery Management,India,int:Danish,2025-09-22,2025-07-29,2025-05-07,Consultant Scrum Master in delivery management delivering data platforms & analytics.,2025-10-12,4,0,2024-10-13,2,2025-10-06,3,2024-11-24,3,13,2025-03-11,3,7,2026-03-20,4,2024-05-19,1,2026-01-27,2,2025-04-18,2,2025-08-16,1,2025-05-22,2,2025-09-04,4,2025-08-17,1,2025-11-01,3,2025-06-23,2024-11-26
Daniel Tran,int:Daniel Tran,int:Senior MLOps Engineer,daniel.tran@example.org,danieltran,ext_60641af3,60641af3,cv_60641af3,+1-279-607-1416x33565,741.765.1827,1988,Data Engineering,Spain,int:Danish,2025-04-28,2026-03-18,2025-09-11,Senior MLOps Engineer in data engineering delivering data platforms & analytics.,2024-07-01,4,0,2025-12-23,1,2024-10-31,3,2026-01-25,3,18,2025-06-30,3,13,2024-09-14,4,2024-10-03,5,2024-09-30,0,2026-01-12,2,2026-02-05,4,2025-01-01,0,2024-08-31,5,2024-10-15,0,2025-07-24,3,2025-07-27,2025-05-01
Joseph Jacobs,int:Joseph Jacobs,int:Principal AWS Engineer,joseph.jacobs@example.com,josephjacobs,ext_f6efadd2,f6efadd2,cv_f6efadd2,694.523.7333,933.295.2111,1977,Cloud Engineering,India,int:British,2026-01-26,2025-07-10,2025-10-30,Principal AWS Engineer in cloud engineering delivering data platforms & analytics.,2026-01-31,2,1,2025-09-03,1,2025-07-28,2,2024-08-12,3,11,2024-08-16,1,19,2024-12-01,0,2024-12-14,4,2025-12-24,2,2024-10-01,2,2026-02-10,2,2025-05-12,0,2024-06-23,5,2026-01-19,0,2025-09-14,1,2024-11-30,2025-08-13
Jennifer Harris,int:Jennifer Harris,int:Associate Frontend Engineer,jennifer.harris@example.org,jenniferharris,ext_30185869,30185869,cv_30185869,001-880-575-9579x47284,001-392-908-6780x85627,1979,Software Engineering,Australia,int:British,2026-02-05,2025-08-20,2025-05-09,,2025-09-16,0,3,2024-08-08,0,2024-07-13,4,2024-12-22,1,19,2026-04-03,0,20,2025-07-20,4,2025-02-11,4,2024-07-27,1,2025-06-30,2,2024-11-15,3,2024-06-26,1,2025-10-05,4,2025-05-02,0,2024-10-31,4,2024-11-25,2024-06-22
Cynthia Baker,int:Cynthia Baker,int:Senior Backend Engineer,cynthia.baker@example.com,cynthiabaker,ext_a2349b67,a2349b67,cv_a2349b67,500-636-9155x94284,995.452.7636x5564,1969,Software Engineering,Slovenia,int:Swedish,2025-10-22,2025-07-17,2025-08-06,Senior Backend Engineer in software engineering delivering data platforms & analytics.,2024-11-12,4,2,2025-10-18,2,2026-01-26,3,2025-01-16,1,14,2024-05-14,2,16,2025-05-27,2,2025-12-28,5,2025-01-05,2,2025-04-18,2,2024-06-19,3,2024-04-30,0,2024-09-29,1,2025-09-28,1,2025-09-17,1,2025-12-13,2025-10-02
Tracy Whitehead,int:Tracy Whitehead,int:Principal Databricks Engineer,tracy.whitehead@example.com,tracywhitehead,ext_095d8aba,095d8aba,cv_095d8aba,001-829-531-4386,(727)902-6728,1973,Data Engineering,Ireland,int:Swedish,2025-10-20,2026-01-13,2025-12-26,,2025-02-22,6,1,2025-10-10,1,2024-07-18,3,2024-05-25,2,16,2025-10-25,2,24,2025-05-05,4,2024-10-22,3,2024-12-04,0,2024-06-03,2,2024-08-02,2,2025-02-01,2,2025-07-02,1,2025-08-12,2,2025-07-08,2,2024-12-06,2025-10-24
Meghan Davis,int:Meghan Davis,int:Associate .NET Engineer,meghan.davis@mail.test,meghandavis,ext_2fe5acea,2fe5acea,cv_2fe5acea,948-790-6120x3471,555-488-4506x159,1979,Software Engineering,Slovenia,int:Polish,2026-04-01,2025-09-09,2026-03-06,,2025-02-09,6,2,2025-04-06,2,2025-11-11,2,2024-12-22,2,13,2025-06-27,2,2,2026-03-15,2,2024-04-12,6,2025-09-08,2,2025-09-02,1,2024-05-26,2,2025-07-15,1,2025-06-06,4,2025-03-17,1,2026-03-10,4,2025-05-09,2024-06-11
Rodney Hill,int:Rodney Hill,int:Associate C# Developer,rodney.hill@example.org,rodneyhill,ext_82750495,82750495,cv_82750495,001-745-858-7716x94722,+1-899-661-1253x5544,1983,Software Engineering,Australia,int:Norwegian,2025-08-01,2025-06-04,2025-08-06,,2026-02-15,3,3,2024-05-28,2,2024-04-29,5,2024-04-10,1,12,2024-11-21,6,16,2025-07-22,1,2025-06-21,4,2024-07-21,3,2024-08-11,1,2025-03-15,0,2026-02-02,0,2025-12-21,1,2026-02-05,0,2024-06-18,3,2025-04-18,2025-02-28
Adam Wise,int:Adam Wise,int:Lead Data Engineer,adam.wise@example.org,adamwise,ext_9ea4028d,9ea4028d,cv_9ea4028d,359.587.6220x234,(861)311-7800,1981,Data Engineering,United Kingdom,int:Polish,2025-06-14,2025-12-22,2025-06-20,Lead Data Engineer in data engineering delivering data platforms & analytics.,2026-01-03,2,4,2025-01-10,2,2025-05-03,4,2024-08-25,2,20,2024-09-21,0,7,2024-05-27,3,2025-07-11,1,2024-09-10,0,2024-10-07,1,2025-06-09,3,2024-04-27,0,2026-03-12,1,2025-11-11,2,2026-01-24,3,2024-04-17,2025-07-26
Dana Green,int:Dana Green,int:Head of Azure Engineering,dana.green@example.org,danagreen,ext_ab2a9f3d,ab2a9f3d,cv_ab2a9f3d,649-921-6433,+1-922-482-0055x7784,1982,Head of Azure Engineering,United Kingdom,int:Norwegian,2025-11-24,2025-05-29,2026-03-23,,2025-11-11,5,2,2025-12-02,2,2025-02-07,4,2025-01-21,1,20,2025-02-22,1,9,2024-11-21,2,2026-02-13,3,2024-10-09,1,2026-02-01,1,2024-10-26,2,2025-03-17,1,2026-03-18,1,2024-09-01,2,2025-01-11,3,2026-03-02,2024-06-15
Joyce Arnold,int:Joyce Arnold,int:Senior Full-stack Engineer,joyce.arnold@example.com,joycearnold,ext_17077af7,17077af7,cv_17077af7,001-982-599-7968x845,274-456-4240,1974,Software Engineering,Ireland,int:Swedish,2025-07-15,2026-02-18,2025-06-14,Senior Full-stack Engineer in software engineering delivering data platforms & analytics.,2024-12-10,4,2,2024-07-18,3,2025-09-20,3,2026-01-19,2,18,2024-05-03,5,21,2025-01-17,0,2025-06-24,5,2024-12-13,0,2024-12-27,2,2025-10-30,0,2024-06-06,2,2025-04-30,0,2026-01-19,2,2025-09-29,2,2024-06-09,2024-06-07
Ronald Smith,int:Ronald Smith,int:Senior Backend Engineer,ronald.smith@mail.test,ronaldsmith,ext_1470ba4f,1470ba4f,cv_1470ba4f,(547)280-7740x649,+1-853-868-6632,1987,Software Engineering,Ireland,int:Polish,2025-10-20,2025-08-28,2026-01-16,Senior Backend Engineer in software engineering delivering data platforms & analytics.,2025-07-12,4,2,2025-08-18,3,2024-05-13,5,2025-05-04,3,10,2024-10-05,0,20,2024-12-21,3,2024-06-03,4,2024-05-22,2,2025-09-10,0,2024-08-23,4,2025-04-05,1,2024-08-21,0,2025-10-29,0,2025-09-22,2,2025-11-03,2024-08-13
Charles Ware,int:Charles Ware,int:Senior Databricks Engineer,charles.ware@example.com,charlesware,ext_405b1776,405b1776,cv_405b1776,641.863.8944,612.924.1797,1992,Data Engineering,Ireland,int:Polish,2025-12-07,2025-05-02,2025-12-18,Senior Databricks Engineer in data engineering delivering data platforms & analytics.,2025-09-09,1,2,2025-05-28,1,2025-01-24,1,2025-06-30,0,15,2025-08-08,4,24,2025-08-24,4,2025-04-05,6,2026-03-07,0,2025-11-14,0,2025-01-08,4,2025-11-28,1,2025-03-15,0,2026-03-08,1,2025-01-04,3,2025-09-02,2025-10-18
Rebecca Gardner,int:Rebecca Gardner,int:Principal Delivery Manager,rebecca.gardner@example.com,rebeccagardner,ext_21a4c0ea,21a4c0ea,cv_21a4c0ea,650.620.8021,(770)831-2073,1974,Delivery Management,Spain,int:Norwegian,2026-01-10,2025-12-17,2026-02-01,,2024-11-19,3,0,2024-07-23,3,2025-05-14,4,2025-02-02,3,18,2025-09-20,1,25,2025-08-31,1,2026-01-01,6,2024-10-31,3,2025-03-31,2,2024-11-30,0,2025-07-16,0,2024-10-30,1,2025-12-10,2,2024-12-22,1,2026-03-18,2025-04-02
Mary Aguilar,int:Mary Aguilar,int:Principal Data Platform Engineer,mary.aguilar@example.org,maryaguilar,ext_1a497185,1a497185,cv_1a497185,975-470-5120x4618,246.501.3673,1984,Data Engineering,Ireland,int:Polish,2025-08-05,2026-03-26,2025-11-14,,2024-06-10,0,3,2025-05-07,3,2025-11-10,4,2025-07-23,0,11,2025-10-04,2,16,2024-09-02,2,2026-03-25,2,2025-11-23,0,2024-10-19,1,2025-10-26,2,2025-11-11,0,2024-04-22,5,2024-12-08,0,2026-02-23,4,2026-01-31,2026-02-16
Earl Anderson,int:Earl Anderson,int:Lead Data Platform Engineer,earl.anderson@example.com,earlanderson,ext_932e5ed2,932e5ed2,cv_932e5ed2,318.637.6452x088,343.850.3136x5024,1971,Data Engineering,Spain,int:Danish,2025-09-29,2026-02-06,2026-01-10,Lead Data Platform Engineer in data engineering delivering data platforms & analytics.,2026-03-04,4,1,2024-11-10,2,2025-05-25,3,2025-02-14,3,15,2024-07-02,6,14,2025-03-17,1,2025-07-06,3,2024-07-06,1,2025-05-10,0,2026-03-05,4,2026-03-08,0,2025-04-29,5,2026-03-05,2,2024-12-08,2,2026-02-27,2025-09-07
Kyle Nolan,int:Kyle Nolan,int:Associate Data Scientist,kyle.nolan@mail.test,kylenolan,ext_ea30a78b,ea30a78b,cv_ea30a78b,500.497.9251,719.750.0528x1273,1968,AI/ML,Spain,int:Swedish,2025-09-01,2026-03-01,2026-02-05,Associate Data Scientist in ai/ml delivering data platforms & analytics.,2024-12-02,5,1,2024-12-14,3,2024-10-01,1,2025-01-08,3,12,2025-11-17,6,19,2024-07-25,4,2024-06-20,5,2026-04-03,1,2025-05-20,0,2024-12-02,0,2024-12-09,0,2025-07-14,2,2025-11-23,0,2025-05-08,1,2024-05-31,2025-02-02
Laura Valencia,int:Laura Valencia,int:Principal Frontend Engineer,laura.valencia@mail.test,lauravalencia,ext_ee0fbf09,ee0fbf09,cv_ee0fbf09,930.565.2407x784,001-428-355-7498,1968,Software Engineering,USA,int:Norwegian,2026-02-14,2025-09-09,2025-11-10,Principal Frontend Engineer in software engineering delivering data platforms & analytics.,2024-07-13,4,2,2025-12-17,0,2025-08-15,4,2025-07-21,3,15,2025-09-26,5,1,2024-05-28,4,2025-05-30,1,2025-05-02,1,2024-04-06,0,2024-12-16,4,2024-05-19,0,2024-08-07,1,2024-10-18,0,2024-10-21,1,2024-08-20,2025-07-22
Rachel Clark,int:Rachel Clark,int:Principal Data Platform Engineer,rachel.clark@mail.test,rachelclark,ext_70fe625e,70fe625e,cv_70fe625e,727.544.8570x86209,318-363-8782x94565,1976,Data Engineering,United Kingdom,int:Swedish,2026-03-27,2026-01-20,2025-05-14,Principal Data Platform Engineer in data engineering delivering data platforms & analytics.,2026-02-28,2,1,2025-08-03,2,2025-02-21,4,2025-05-08,2,12,2026-03-23,5,3,2024-08-26,1,2024-11-27,4,2024-11-24,0,2025-04-16,2,2025-09-23,3,2024-06-29,2,2024-08-20,0,2025-02-12,0,2024-12-27,2,2025-08-27,2025-10-20
John Garcia,int:John Garcia,int:Consultant Analytics Engineer,john.garcia@example.com,johngarcia,ext_5bfd9c00,5bfd9c00,cv_5bfd9c00,910.622.0317x31096,9532910371,1989,Data Engineering,Ireland,int:Danish,2025-04-29,2026-02-13,2025-04-26,Consultant Analytics Engineer in data engineering delivering data platforms & analytics.,2025-04-18,3,4,2024-10-19,2,2026-01-29,5,2025-03-25,3,12,2025-01-22,0,13,2024-06-15,2,2026-03-08,5,2024-09-24,2,2025-11-25,1,2025-12-28,1,2025-08-14,1,2024-12-21,2,2025-12-11,1,2025-12-01,4,2024-09-17,2025-07-08
Kimberly Henson,int:Kimberly Henson,int:Senior C# Developer,kimberly.henson@mail.test,kimberlyhenson,ext_72a377f1,72a377f1,cv_72a377f1,(586)350-9480x141,438-863-3839,1970,Software Engineering,India,int:British,2025-04-20,2025-12-11,2026-03-26,,2025-09-12,5,2,2025-04-06,1,2024-07-27,3,2025-10-30,2,18,2024-09-04,3,20,2024-10-07,3,2024-10-13,4,2026-02-14,0,2024-10-05,2,2025-03-28,1,2024-09-28,1,2025-08-11,4,2024-04-23,0,2024-10-07,2,2025-10-15,2024-10-12
Richard Oliver,int:Richard Oliver,int:Consultant Databricks Engineer,richard.oliver@example.com,richardoliver,ext_d08187c4,d08187c4,cv_d08187c4,001-419-957-6122x8685,(558)855-6659x398,1984,Data Engineering,United Kingdom,int:Danish,2025-07-10,2025-08-31,2025-08-03,Consultant Databricks Engineer in data engineering delivering data platforms & analytics.,2024-12-10,2,1,2025-05-09,0,2025-05-31,2,2026-04-03,1,13,2026-01-17,6,23,2025-07-20,1,2024-04-08,4,2024-09-11,3,2024-05-19,0,2025-05-19,2,2025-09-02,0,2024-07-15,3,2024-08-03,1,2026-01-25,4,2026-02-02,2025-11-15
Eric Spears,int:Eric Spears,int:Principal .NET Engineer,eric.spears@mail.test,ericspears,ext_1fdb04d2,1fdb04d2,cv_1fdb04d2,001-684-257-7600x49082,233-950-4888x9921,1974,Software Engineering,Ireland,int:Polish,2025-11-27,2025-10-06,2026-02-26,Principal .NET Engineer in software engineering delivering data platforms & analytics.,2025-08-15,6,3,2025-06-25,1,2025-02-16,2,2025-11-28,3,14,2024-08-12,6,4,2024-05-15,1,2025-10-30,6,2025-09-05,1,2025-01-04,1,2025-11-09,1,2024-05-15,2,2025-06-25,3,2025-05-03,1,2026-03-23,2,2024-06-20,2025-11-11
Michelle Cherry,int:Michelle Cherry,int:Principal Data Scientist,michelle.cherry@example.com,michellecherry,ext_b187fb95,b187fb95,cv_b187fb95,(822)545-9334x419,001-315-272-7919x4096,1986,AI/ML,India,int:Polish,2026-01-15,2026-02-26,2025-10-11,Principal Data Scientist in ai/ml delivering data platforms & analytics.,2025-06-29,0,4,2026-02-21,2,2025-07-16,5,2025-12-09,0,13,2024-07-01,6,23,2024-12-12,4,2025-01-22,3,2024-08-12,1,2025-10-13,2,2024-04-07,3,2024-04-25,1,2024-11-21,0,2025-06-09,2,2025-08-16,4,2024-10-15,2025-03-09
Lisa Keith,int:Lisa Keith,int:Consultant Kubernetes Engineer,lisa.keith@example.com,lisakeith,ext_2c3beb8d,2c3beb8d,cv_2c3beb8d,001-755-466-1390x60480,883-420-6799x81364,1973,Cloud Engineering,United Kingdom,int:Swedish,2025-11-26,2025-05-11,2025-07-17,,2025-05-02,0,0,2025-01-29,2,2025-07-20,2,2025-04-03,3,14,2026-01-08,6,21,2026-03-21,3,2025-12-21,3,2024-04-03,0,2024-11-22,2,2025-07-29,0,2024-08-12,1,2024-11-13,5,2025-08-20,2,2024-08-06,3,2025-01-14,2024-05-21
Angel Doyle,int:Angel Doyle,int:Senior Project Manager,angel.doyle@example.com,angeldoyle,ext_f58bead8,f58bead8,cv_f58bead8,(351)879-0864,562.527.8376x93898,1988,Delivery Management,United Kingdom,int:Polish,2025-06-13,2026-02-14,2026-02-02,,2025-08-02,5,2,2025-03-30,0,2024-05-15,4,2024-04-07,3,11,2024-07-24,4,25,2025-01-27,4,2025-02-24,6,2026-02-22,3,2025-04-13,0,2024-06-10,4,2025-01-08,0,2024-12-18,4,2024-08-24,2,2024-10-15,1,2026-02-24,2024-08-17
Martin Galvan,int:Martin Galvan,int:Senior Scrum Master,martin.galvan@example.com,martingalvan,ext_0d92bd79,0d92bd79,cv_0d92bd79,746-759-1166,955.490.4259,1973,Delivery Management,Ireland,int:Danish,2025-04-19,2025-10-09,2025-10-05,Senior Scrum Master in delivery management delivering data platforms & analytics.,2025-07-23,3,3,2025-06-24,0,2026-02-14,2,2025-05-06,1,11,2024-12-20,0,13,2024-04-18,2,2024-06-22,0,2025-07-08,2,2025-10-21,1,2025-09-01,0,2024-09-09,2,2024-09-20,3,2024-06-09,1,2025-05-09,3,2025-02-17,2025-01-02
Leah Shields,int:Leah Shields,int:Associate .NET Engineer,leah.shields@mail.test,leahshields,ext_2c677b8f,2c677b8f,cv_2c677b8f,603.235.2110x392,914-477-0538x33884,1976,Software Engineering,USA,int:British,2025-10-25,2025-05-20,2025-07-23,Associate .NET Engineer in software engineering delivering data platforms & analytics.,2024-06-18,6,2,2025-09-25,1,2025-09-08,4,2025-07-06,0,12,2024-04-09,2,4,2024-11-22,2,2025-04-09,4,2025-04-23,1,2025-01-10,1,2025-03-29,2,2025-10-22,0,2025-10-13,5,2025-05-08,0,2026-03-18,4,2025-12-10,2025-03-08
